name,parent
root,
keine Ausdrucksbezeichnung,root
andere Ausdrucksbezeichnung,root
"vigoroso / lebhaft, kraftvoll",root
triste / traurig,root
"tempestoso / stürmisch, ungestüm",root
"spirituoso, con spirito / feurig",root
sereno / heiter,root
semplice / einfach,root
scherzando / scherzend,root
"rustico / ländlich, bäuerlich",root
risoluto / entschlossen,root
religioso / andachtsvoll,root
quito / ruhig,root
portato / getragen,root
"placido / still, ruhig",root
piacevole / angenehm,root
"pesante / schwer, wuchtig",root
pensieroso / nachdenklich,root
"patetico, pathétique / leidenschaftlich",root
parlando / sprechend,root
misterioso / geheimnisvoll,root
martellato / gehämmert,root
"marciale, alla marcia / marschmäßig",root
"maestoso / erhaben, festlich",root
"leggiero / leicht, locker",root
"lacrimoso, lamentoso / klagend, traurig",root
"innocente / schlicht, naiv, ungekünstelt",root
"infernale / teuflisch, höllisch",root
indeciso / unbestimmt,root
"impetuoso / heftig, ungestüm",root
"grazioso, con grazia / anmutig, liebenswürdig",root
"grave / schwer, ernst",root
"grandioso, con grandezza / großartig, erhaben",root
"giocoso / lustig, fröhlich, ausgelassen",root
"furioso, con furore / wild rasend",root
fuocoso / feurig,root
funebre / traurig,root
frivolo / leichtfertig,root
"fresco / frisch, lebhaft",root
"flebile / wehmütig, klagend",root
flautando / flötenartig,root
festivo / festlich,root
fantastico / fantastisch,root
facile / leicht,root
eroico / heldenhaft,root
"energico / energisch, entschlossen",root
"elegante / geschmackvoll, fein",root
"dolendo, con dolore / klagend, schmerzerfüllt",root
"dolce / zart, sanft, lieblich",root
"divoto / andächtig, ergeben",root
"determinato / bestimmt, entschlossen",root
"delicato / zart, geschmackvoll",root
"deciso / bestimmt, entschieden",root
consitato / erregt,root
con moto / mit Bewegung,root
con forza / mit Kraft,root
con fermezza / mit Festigkeit,root
con calore / mit Wärme,root
"con brio, con fuoco / mit Feuer, feurig",root
"comodo / gemütlich, gemächlich",root
"capriccioso / eigenwillig, launenhaft, kapriziös",root
"cantabile / ausdrucksvoll, singend",root
calando / in Tonstärke und Tempo zurückgehend,root
burlesco / scherzhaft,root
"brillante / glänzend, virtuos",root
arioso / singend,root
appassionato / leidenschaftlich,root
a piacere / frei im Vortrag,root
"animato, con anima / beseelt, belebt",root
"amoroso, con amore / liebevoll, zärtlich",root
amabile / lieblich,root
alla zingarese,root
alla turca,root
alla tedesca / nach Art des Walzers,root
alla polacca / nach Art der Polonaise,root
alla marcia / nach Art des Marsches,root
agitato / erregt,root
agile / beweglich,root
affetuoso / leidenschaftlich,root
